Dollar Loss,Year,Sprinkler System Presence
700,2018,Undetermined
2500,2018,No sprinkler system
4000,2018,No sprinkler system
2500,2018,No sprinkler system
1000,2018,No sprinkler system
100,2018,NA
150000,2018,No sprinkler system
5000,2018,Partial sprinkler system present
5000,2018,Undetermined
0,2018,Undetermined
100,2018,Full sprinkler system present
1000,2018,No sprinkler system
2500,2018,No sprinkler system
3000,2018,NA
3000,2018,No sprinkler system
250000,2018,No sprinkler system
5000,2018,No sprinkler system
3500,2018,NA
5000,2018,No sprinkler system
500,2018,NA
0,2018,Full sprinkler system present
1000,2018,NA
1000,2018,No sprinkler system
1000000,2018,No sprinkler system
20000,2018,No sprinkler system
8000,2018,No sprinkler system
50000,2018,Undetermined
1000000,2018,Undetermined
200,2018,Full sprinkler system present
8000,2018,Full sprinkler system present
100000,2018,No sprinkler system
0,2018,NA
75000,2018,No sprinkler system
10000,2018,No sprinkler system
10000,2018,No sprinkler system
5000,2018,Full sprinkler system present
40000,2018,No sprinkler system
200,2018,No sprinkler system
0,2018,No sprinkler system
25000,2018,NA
1500,2018,NA
3000,2018,No sprinkler system
45000,2018,Undetermined
20000,2018,No sprinkler system
100000,2018,NA
200,2018,No sprinkler system
50000,2018,Undetermined
15000,2018,NA
200000,2018,Full sprinkler system present
5000,2018,No sprinkler system
1000,2018,No sprinkler system
8000,2018,Partial sprinkler system present
10,2018,Undetermined
15000,2018,No sprinkler system
65000,2018,NA
50000,2018,Full sprinkler system present
2500,2018,NA
25000,2018,No sprinkler system
15000,2018,No sprinkler system
1000,2018,No sprinkler system
100000,2018,No sprinkler system
50000,2018,Undetermined
7500,2018,No sprinkler system
200,2018,No sprinkler system
35000,2018,NA
1,2018,Undetermined
20000,2018,Full sprinkler system present
20,2018,No sprinkler system
10000,2018,NA
1500,2018,No sprinkler system
5000,2018,No sprinkler system
4000,2018,No sprinkler system
0,2018,NA
50,2018,Undetermined
5000,2018,NA
45000,2018,NA
7000,2018,NA
15000,2018,NA
2000,2018,No sprinkler system
100,2018,No sprinkler system
300000,2018,No sprinkler system
0,2018,NA
1000,2018,No sprinkler system
5000,2018,NA
2000,2018,NA
5000,2018,NA
9999,2018,NA
500,2018,No sprinkler system
0,2018,No sprinkler system
100000,2018,No sprinkler system
500,2018,No sprinkler system
35000,2018,No sprinkler system
20000,2018,NA
400,2018,Full sprinkler system present
500,2018,NA
100000,2018,No sprinkler system
200,2018,Undetermined
100000,2018,No sprinkler system
5000,2018,No sprinkler system
20000,2018,No sprinkler system
0,2018,Full sprinkler system present
25000,2018,Partial sprinkler system present
25000,2018,No sprinkler system
500,2018,NA
15000,2018,No sprinkler system
10000,2018,No sprinkler system
2000,2018,No sprinkler system
10000,2018,No sprinkler system
100,2018,No sprinkler system
5000,2018,No sprinkler system
100,2018,Undetermined
3000,2018,Full sprinkler system present
100,2018,No sprinkler system
10000,2018,NA
0,2018,No sprinkler system
100,2018,No sprinkler system
10000,2018,NA
5000,2018,No sprinkler system
0,2018,Undetermined
5000,2018,No sprinkler system
0,2018,Partial sprinkler system present
150,2018,NA
20000,2018,No sprinkler system
200000,2018,No sprinkler system
10000,2018,NA
30000,2018,NA
10,2018,Undetermined
20,2018,No sprinkler system
100,2018,No sprinkler system
9000,2018,Full sprinkler system present
1000,2018,No sprinkler system
5000,2018,NA
40000,2018,NA
25000,2018,No sprinkler system
10000,2018,No sprinkler system
1000,2018,No sprinkler system
10000,2018,NA
5000,2018,No sprinkler system
5000,2018,No sprinkler system
1000000,2018,No sprinkler system
10000,2018,No sprinkler system
1000,2018,Partial sprinkler system present
10000,2018,Full sprinkler system present
0,2018,Full sprinkler system present
20,2018,Undetermined
75000,2018,Full sprinkler system present
5000,2018,No sprinkler system
10000,2018,NA
1000,2018,Full sprinkler system present
300,2018,No sprinkler system
5000,2018,NA
40000,2018,NA
200000,2018,Full sprinkler system present
10000,2018,NA
20000,2018,Undetermined
5000,2018,No sprinkler system
5000,2018,NA
1000,2018,NA
500,2018,NA
50,2018,No sprinkler system
5000,2018,NA
50,2018,Undetermined
5000,2018,NA
2000,2018,Undetermined
5000,2018,NA
75000,2018,Full sprinkler system present
100,2018,No sprinkler system
40000,2018,No sprinkler system
500,2018,Full sprinkler system present
7000,2018,NA
20000,2018,NA
0,2018,NA
1000000,2018,Undetermined
20000,2018,No sprinkler system
5000,2018,Partial sprinkler system present
100000,2018,NA
25000,2018,Partial sprinkler system present
1000,2018,No sprinkler system
0,2018,Undetermined
0,2018,No sprinkler system
8000,2018,Partial sprinkler system present
0,2018,Full sprinkler system present
3000,2018,Undetermined
50000,2018,Full sprinkler system present
0,2018,Full sprinkler system present
0,2018,Full sprinkler system present
35000,2018,Full sprinkler system present
200000,2018,No sprinkler system
250000,2018,No sprinkler system
5000,2018,No sprinkler system
250000,2018,Undetermined
10000,2018,Partial sprinkler system present
20000,2018,NA
5000,2018,NA
50000,2018,NA
10000,2018,Partial sprinkler system present
275000,2018,No sprinkler system
250000,2018,No sprinkler system
15000,2018,NA
100000,2018,No sprinkler system
1000,2018,Partial sprinkler system present
7000,2018,No sprinkler system
250,2018,NA
2500,2018,No sprinkler system
20000,2018,No sprinkler system
30,2018,NA
5000,2018,No sprinkler system
3000,2018,No sprinkler system
45000,2018,NA
3500,2018,NA
5000,2018,NA
20000,2018,Full sprinkler system present
1000,2018,No sprinkler system
0,2018,NA
0,2018,Partial sprinkler system present
25000,2018,NA
0,2018,Full sprinkler system present
250000,2018,Partial sprinkler system present
1000,2018,Undetermined
10000,2018,NA
500,2018,No sprinkler system
40000,2018,No sprinkler system
1000,2018,No sprinkler system
10000,2018,NA
50,2018,Undetermined
10000,2018,NA
1000,2018,NA
3000,2018,No sprinkler system
2000,2018,NA
50000,2018,Undetermined
0,2018,Full sprinkler system present
10000,2018,NA
50000,2018,Full sprinkler system present
500,2018,Undetermined
10,2018,Undetermined
300000,2018,No sprinkler system
2000,2018,Full sprinkler system present
0,2018,No sprinkler system
5000,2018,Full sprinkler system present
50000,2018,Partial sprinkler system present
500,2018,NA
45000,2018,NA
25000,2018,No sprinkler system
4000,2018,NA
5000,2018,No sprinkler system
75000,2018,No sprinkler system
2000,2018,NA
5000,2018,NA
0,2018,NA
20000,2018,No sprinkler system
5000,2018,Undetermined
2000,2018,Full sprinkler system present
1,2018,NA
20000,2018,NA
150000,2018,No sprinkler system
40000,2018,No sprinkler system
0,2018,Partial sprinkler system present
0,2018,Full sprinkler system present
10000,2018,NA
750000,2018,No sprinkler system
500,2018,No sprinkler system
1000,2018,NA
90000,2018,No sprinkler system
200,2018,Partial sprinkler system present
500,2018,Partial sprinkler system present
50000,2018,NA
0,2018,Partial sprinkler system present
1000,2018,Full sprinkler system present
0,2018,Undetermined
1000,2018,NA
100,2018,Partial sprinkler system present
5000,2018,Undetermined
1000,2018,No sprinkler system
40000,2018,NA
45000,2018,No sprinkler system
0,2018,NA
10000,2018,No sprinkler system
7000,2018,NA
6000,2018,NA
250000,2018,No sprinkler system
0,2018,NA
6000,2018,Undetermined
10000,2018,NA
1000,2018,Undetermined
0,2018,NA
2500,2018,No sprinkler system
10,2018,Full sprinkler system present
3000,2018,No sprinkler system
500,2018,Undetermined
10000,2018,No sprinkler system
0,2018,Partial sprinkler system present
18000,2018,NA
0,2018,NA
0,2018,NA
1500,2018,No sprinkler system
1000,2018,Full sprinkler system present
250000,2018,No sprinkler system
1000,2018,NA
6000,2018,NA
500000,2018,No sprinkler system
0,2018,NA
500,2018,NA
0,2018,NA
500,2018,Full sprinkler system present
100,2018,NA
1500,2018,Full sprinkler system present
500,2018,NA
10000,2018,NA
5000,2018,No sprinkler system
0,2018,Partial sprinkler system present
0,2018,No sprinkler system
13000,2018,No sprinkler system
10000,2018,No sprinkler system
7000,2018,No sprinkler system
5000,2018,No sprinkler system
750000,2018,No sprinkler system
30000,2018,Partial sprinkler system present
3000,2018,No sprinkler system
300,2018,No sprinkler system
100000,2018,Undetermined
500,2018,NA
0,2018,NA
0,2018,No sprinkler system
20000,2018,NA
4000,2018,No sprinkler system
10000,2018,NA
10000,2018,Undetermined
0,2018,No sprinkler system
50000,2018,Full sprinkler system present
5000,2018,NA
500,2018,NA
6000,2018,NA
0,2018,NA
0,2018,NA
10000,2018,NA
0,2018,NA
500,2018,Full sprinkler system present
50,2018,NA
4000,2018,NA
7000,2018,NA
50000,2018,NA
30000,2018,No sprinkler system
500,2018,NA
100000,2018,No sprinkler system
4000,2018,Full sprinkler system present
500,2018,No sprinkler system
100,2018,No sprinkler system
20000,2018,NA
10000,2018,Full sprinkler system present
100000,2018,No sprinkler system
2000,2018,No sprinkler system
5000,2018,Full sprinkler system present
300,2018,NA
25,2018,Partial sprinkler system present
1000,2018,No sprinkler system
3000,2018,NA
5000,2018,NA
3000,2018,No sprinkler system
0,2018,Full sprinkler system present
500,2018,Full sprinkler system present
60000,2018,No sprinkler system
7500,2018,NA
3000,2018,NA
500,2018,No sprinkler system
20000,2018,NA
7000,2018,Undetermined
100000,2018,NA
25000,2018,Partial sprinkler system present
2000,2018,No sprinkler system
20000,2018,No sprinkler system
0,2018,No sprinkler system
0,2018,Full sprinkler system present
50,2018,Undetermined
40000,2018,No sprinkler system
250000,2018,No sprinkler system
50,2018,Undetermined
18000,2018,NA
0,2018,No sprinkler system
10000,2018,NA
200,2018,No sprinkler system
100,2018,No sprinkler system
3000,2018,No sprinkler system
100,2018,Full sprinkler system present
1000,2018,NA
25000,2018,NA
5000,2018,Undetermined
0,2018,Partial sprinkler system present
65000,2018,NA
100,2018,NA
1000,2018,NA
2000,2018,No sprinkler system
6000,2018,NA
200,2018,NA
125000,2018,No sprinkler system
15,2018,No sprinkler system
15000,2018,Undetermined
500,2018,No sprinkler system
3000,2018,Undetermined
1500,2018,NA
2000,2018,NA
25000,2018,No sprinkler system
1000,2018,Full sprinkler system present
0,2018,NA
0,2018,NA
2000,2018,Undetermined
8000,2018,No sprinkler system
2000,2018,NA
250,2018,Undetermined
100000,2018,No sprinkler system
0,2018,Full sprinkler system present
100000,2018,NA
15000,2018,Full sprinkler system present
5000,2018,No sprinkler system
100,2018,No sprinkler system
0,2018,NA
100000,2018,Full sprinkler system present
300,2018,No sprinkler system
4000,2018,NA
5000,2018,No sprinkler system
12000,2018,NA
20000,2018,NA
10000,2018,No sprinkler system
2500,2018,No sprinkler system
300,2018,Undetermined
100000,2018,No sprinkler system
50000,2018,NA
70000,2018,NA
10000,2018,Full sprinkler system present
4000,2018,NA
5000,2018,No sprinkler system
9000,2018,NA
100000,2018,Undetermined
5000,2018,No sprinkler system
0,2018,NA
1500,2018,NA
100000,2018,No sprinkler system
1000,2018,NA
40000,2018,NA
0,2018,NA
0,2018,Partial sprinkler system present
200000,2018,NA
6000,2018,NA
500,2018,Undetermined
100000,2018,No sprinkler system
7500,2018,Partial sprinkler system present
10000,2018,NA
50000,2018,No sprinkler system
500,2018,NA
25000,2018,NA
200,2018,No sprinkler system
15000,2018,No sprinkler system
500,2018,Partial sprinkler system present
6000,2018,NA
10000,2018,Partial sprinkler system present
1000,2018,No sprinkler system
5000,2018,NA
10000,2018,Undetermined
20000,2018,No sprinkler system
100000,2018,Full sprinkler system present
1000,2018,No sprinkler system
5000,2018,NA
150000,2018,No sprinkler system
4000,2018,No sprinkler system
0,2018,No sprinkler system
20000,2018,NA
75000,2018,NA
35000,2018,No sprinkler system
5000,2018,Undetermined
500,2018,Full sprinkler system present
25000,2018,No sprinkler system
25000,2018,No sprinkler system
1000,2018,NA
0,2018,Full sprinkler system present
10000,2018,No sprinkler system
15000,2018,NA
15000,2018,No sprinkler system
20000,2018,No sprinkler system
250000,2018,No sprinkler system
2500,2018,Full sprinkler system present
500,2018,Full sprinkler system present
20000,2018,NA
25000,2018,No sprinkler system
150000,2018,No sprinkler system
5000,2018,NA
12000,2018,NA
2500,2018,Undetermined
1000,2018,Undetermined
15000,2018,Partial sprinkler system present
10000,2018,NA
1500,2018,NA
8000,2018,NA
10000,2018,Partial sprinkler system present
50,2018,Full sprinkler system present
3500,2018,NA
300000,2018,No sprinkler system
10000,2018,NA
10000,2018,NA
40000,2018,No sprinkler system
0,2018,Partial sprinkler system present
20000,2018,Undetermined
500,2018,NA
1000,2018,No sprinkler system
0,2018,No sprinkler system
1,2018,NA
0,2018,No sprinkler system
500,2018,Full sprinkler system present
500,2018,Undetermined
1000,2018,NA
100000,2018,No sprinkler system
30000,2018,Full sprinkler system present
0,2018,No sprinkler system
15000,2018,NA
100000,2018,No sprinkler system
1000,2018,NA
25000,2018,Undetermined
200000,2018,NA
15000,2018,NA
20000,2018,No sprinkler system
20000,2018,Full sprinkler system present
25000,2018,NA
5000,2018,NA
500,2018,Partial sprinkler system present
1000,2018,Undetermined
50000,2018,No sprinkler system
15000,2018,Partial sprinkler system present
15000,2018,NA
500,2018,No sprinkler system
10000,2018,NA
0,2018,Full sprinkler system present
5000,2018,No sprinkler system
10000,2018,Undetermined
5000,2018,Full sprinkler system present
60000,2018,Partial sprinkler system present
3000,2018,Undetermined
42090,2018,Full sprinkler system present
0,2018,No sprinkler system
500,2018,NA
500,2018,No sprinkler system
500,2018,Full sprinkler system present
10000,2018,Full sprinkler system present
1000,2018,NA
500,2018,NA
12000,2018,NA
12000,2018,NA
100,2018,NA
5000,2018,No sprinkler system
50000,2018,No sprinkler system
6000,2018,No sprinkler system
500,2018,NA
30000,2018,No sprinkler system
5000,2018,Full sprinkler system present
0,2018,NA
25000,2018,NA
10000,2018,Undetermined
0,2018,Partial sprinkler system present
15000,2018,NA
2000,2018,Full sprinkler system present
35000,2018,No sprinkler system
30000,2018,No sprinkler system
100000,2018,NA
5000,2018,Full sprinkler system present
75000,2018,Undetermined
0,2018,Full sprinkler system present
85000,2018,No sprinkler system
100,2018,NA
500,2018,No sprinkler system
10000,2018,NA
50000,2018,No sprinkler system
100,2018,Partial sprinkler system present
50000,2018,No sprinkler system
60000,2018,Full sprinkler system present
100,2018,Partial sprinkler system present
50,2018,No sprinkler system
200000,2018,No sprinkler system
50000,2018,NA
1250000,2018,Undetermined
9000,2018,NA
50,2018,NA
20000,2018,Full sprinkler system present
10000,2018,NA
100000,2018,Partial sprinkler system present
7000,2018,NA
2000,2018,No sprinkler system
1500,2018,No sprinkler system
500,2018,No sprinkler system
75000,2018,Full sprinkler system present
5000,2018,NA
100,2018,Full sprinkler system present
100000,2018,Partial sprinkler system present
200000,2018,No sprinkler system
20000,2018,Partial sprinkler system present
5000,2018,No sprinkler system
0,2018,Full sprinkler system present
225000,2018,No sprinkler system
5000,2018,No sprinkler system
0,2018,Undetermined
50,2018,Partial sprinkler system present
99000,2018,NA
5,2018,No sprinkler system
100,2018,No sprinkler system
20000,2018,NA
5000,2018,NA
5000,2018,No sprinkler system
0,2018,No sprinkler system
3000,2018,No sprinkler system
3000,2018,No sprinkler system
7000,2018,NA
10,2018,Undetermined
40000,2018,NA
50000,2018,Undetermined
25000,2018,Partial sprinkler system present
5000,2018,Undetermined
5000,2018,NA
3000,2018,NA
250000,2018,No sprinkler system
60000,2018,Full sprinkler system present
10000,2018,NA
1000,2018,No sprinkler system
50000,2018,NA
500,2018,Partial sprinkler system present
8000,2018,NA
50000,2018,Full sprinkler system present
1000,2018,Full sprinkler system present
2500,2018,No sprinkler system
0,2018,NA
0,2018,Partial sprinkler system present
10000,2018,Full sprinkler system present
0,2018,NA
0,2018,Full sprinkler system present
1,2018,Full sprinkler system present
500,2018,No sprinkler system
15000,2018,No sprinkler system
7000,2018,Full sprinkler system present
1,2018,NA
10000,2018,No sprinkler system
0,2018,NA
1000,2018,NA
40000,2018,Full sprinkler system present
3000,2018,Full sprinkler system present
80000,2018,Undetermined
10000,2018,Full sprinkler system present
80000,2018,No sprinkler system
5000,2018,No sprinkler system
1000,2018,NA
150000,2018,No sprinkler system
150000,2018,No sprinkler system
0,2018,No sprinkler system
0,2018,Full sprinkler system present
5000,2018,No sprinkler system
100000,2018,No sprinkler system
75000,2018,No sprinkler system
500000,2018,No sprinkler system
80000,2018,No sprinkler system
5000,2018,No sprinkler system
500,2018,NA
5000,2018,NA
1000,2018,Partial sprinkler system present
20000,2018,Full sprinkler system present
25000,2018,No sprinkler system
20000,2018,Full sprinkler system present
20000,2019,NA
1500,2019,NA
5000,2019,Partial sprinkler system present
100000,2019,NA
5000,2019,Full sprinkler system present
10,2019,No sprinkler system
25000,2019,NA
500,2019,NA
100,2019,No sprinkler system
30000,2019,No sprinkler system
5000,2019,Full sprinkler system present
100000,2019,NA
15000,2022,NA
10000,2019,Undetermined
58000,2019,Partial sprinkler system present
150000,2019,No sprinkler system
0,2019,No sprinkler system
25000,2019,Full sprinkler system present
2000,2019,No sprinkler system
30000,2019,Full sprinkler system present
10,2019,Partial sprinkler system present
50000,2019,No sprinkler system
0,2019,Undetermined
3000,2019,NA
250000,2019,No sprinkler system
100,2019,NA
25000,2019,NA
7500,2019,NA
500,2019,NA
0,2019,Full sprinkler system present
1500,2019,No sprinkler system
5000,2019,NA
100,2019,No sprinkler system
80000,2019,NA
5000,2019,No sprinkler system
500000,2019,NA
1000000,2019,No sprinkler system
10000,2022,NA
0,2019,No sprinkler system
1000,2019,Undetermined
5000,2019,Full sprinkler system present
150000,2019,No sprinkler system
30000,2019,No sprinkler system
0,2019,Full sprinkler system present
2000,2019,Partial sprinkler system present
5000,2019,NA
25000,2019,Partial sprinkler system present
5000,2019,Undetermined
15000,2019,NA
500,2019,No sprinkler system
0,2019,Undetermined
30000,2019,No sprinkler system
1000,2019,Full sprinkler system present
2000,2019,Undetermined
1,2019,Full sprinkler system present
150000,2019,NA
9999,2019,NA
40000,2019,NA
0,2019,NA
25000,2019,Partial sprinkler system present
40000,2019,NA
5000,2019,NA
10000,2019,No sprinkler system
30000,2019,NA
50000,2019,No sprinkler system
20000,2019,NA
1000,2019,No sprinkler system
30000,2019,NA
10000,2019,No sprinkler system
20000,2019,Full sprinkler system present
50000,2019,No sprinkler system
1000,2019,No sprinkler system
3000,2019,NA
5000,2019,No sprinkler system
4000,2019,No sprinkler system
20000,2019,NA
15000,2019,NA
20000,2019,Full sprinkler system present
300000,2019,Full sprinkler system present
25000,2019,NA
4000,2019,No sprinkler system
10000,2019,No sprinkler system
75000,2019,No sprinkler system
100,2019,Undetermined
100000,2019,No sprinkler system
45000,2019,No sprinkler system
2500,2019,Undetermined
7500,2019,Partial sprinkler system present
75000,2019,No sprinkler system
1000,2019,NA
500,2019,Full sprinkler system present
5000,2019,Full sprinkler system present
50000,2019,No sprinkler system
15000,2019,NA
0,2019,NA
17000,2019,NA
10000,2019,Partial sprinkler system present
200000,2019,No sprinkler system
5000,2019,No sprinkler system
100,2019,No sprinkler system
0,2019,Undetermined
5000,2019,Partial sprinkler system present
50000,2019,No sprinkler system
10000,2019,No sprinkler system
20000,2019,NA
1500,2019,No sprinkler system
0,2019,No sprinkler system
1000,2019,Undetermined
30000,2019,Full sprinkler system present
750,2019,NA
1000,2019,No sprinkler system
5000,2019,No sprinkler system
30000,2019,NA
0,2019,No sprinkler system
0,2019,Undetermined
125000,2019,Full sprinkler system present
20000,2019,No sprinkler system
5000,2019,Full sprinkler system present
30000,2019,NA
5,2019,Full sprinkler system present
50000,2019,No sprinkler system
20000,2019,No sprinkler system
6000,2019,NA
100,2019,No sprinkler system
40000,2019,NA
100000,2019,No sprinkler system
750000,2019,No sprinkler system
0,2019,NA
1000,2019,No sprinkler system
10000,2019,Undetermined
2500,2019,NA
0,2019,Full sprinkler system present
40000,2019,No sprinkler system
5000,2019,Partial sprinkler system present
600,2019,No sprinkler system
15000,2019,Partial sprinkler system present
0,2019,Partial sprinkler system present
6000,2019,Full sprinkler system present
100000,2019,No sprinkler system
350000,2019,No sprinkler system
1,2019,No sprinkler system
0,2019,No sprinkler system
0,2019,Partial sprinkler system present
8000,2019,NA
10000,2019,Undetermined
500,2019,NA
40000,2019,No sprinkler system
7000,2019,NA
35000,2019,No sprinkler system
0,2019,Partial sprinkler system present
58000,2019,No sprinkler system
100000,2019,No sprinkler system
50,2019,Undetermined
25000,2019,NA
150000,2019,No sprinkler system
1000,2019,Full sprinkler system present
20000,2019,NA
100,2019,No sprinkler system
25000,2019,Full sprinkler system present
200,2019,Partial sprinkler system present
0,2019,Partial sprinkler system present
750,2019,No sprinkler system
1000,2019,Partial sprinkler system present
12000,2019,NA
1000,2019,NA
15000,2019,NA
2000,2019,No sprinkler system
150000,2019,NA
5000,2019,Full sprinkler system present
5000,2019,No sprinkler system
5000,2019,Undetermined
5000,2019,No sprinkler system
2500,2019,NA
300,2019,No sprinkler system
1000,2019,Undetermined
20000,2019,NA
5000,2019,NA
200,2019,Partial sprinkler system present
10000,2019,Undetermined
20000,2019,Full sprinkler system present
50000,2019,No sprinkler system
2000,2019,NA
5000,2019,No sprinkler system
100000,2019,No sprinkler system
2000,2019,NA
5000,2019,No sprinkler system
0,2019,Full sprinkler system present
50,2019,No sprinkler system
0,2019,No sprinkler system
500,2019,NA
26000,2019,Partial sprinkler system present
30000,2019,Undetermined
0,2019,Partial sprinkler system present
2000,2019,No sprinkler system
1500,2019,NA
1000,2019,Undetermined
0,2019,NA
20000,2019,NA
20000,2019,NA
75000,2019,No sprinkler system
60000,2019,NA
10000,2019,NA
5000,2019,Partial sprinkler system present
5000,2019,NA
500,2019,No sprinkler system
5000,2019,NA
75000,2019,No sprinkler system
100000,2019,No sprinkler system
0,2019,Full sprinkler system present
2500000,2019,No sprinkler system
1500,2019,Full sprinkler system present
2500,2019,No sprinkler system
0,2019,Undetermined
500,2019,Partial sprinkler system present
0,2019,Undetermined
3000,2019,NA
500,2019,Full sprinkler system present
1000,2019,Full sprinkler system present
0,2019,NA
1000,2019,No sprinkler system
800,2019,No sprinkler system
50,2019,No sprinkler system
3000,2019,No sprinkler system
1000,2019,NA
500000,2019,NA
200,2019,NA
10000,2019,No sprinkler system
0,2019,No sprinkler system
1000,2019,No sprinkler system
1000,2019,Full sprinkler system present
20000,2019,Full sprinkler system present
1000,2019,No sprinkler system
1000,2019,Undetermined
400,2019,No sprinkler system
100000,2019,Undetermined
300,2019,NA
0,2019,NA
75,2019,NA
20000,2019,NA
1000,2019,Undetermined
100000,2019,No sprinkler system
25000,2019,NA
0,2019,NA
0,2019,Undetermined
500,2019,Undetermined
0,2019,No sprinkler system
20,2019,No sprinkler system
80000,2019,No sprinkler system
375,2019,NA
10000,2019,Partial sprinkler system present
20,2019,Full sprinkler system present
10000,2019,NA
0,2019,NA
0,2019,Undetermined
50000,2019,No sprinkler system
500,2019,No sprinkler system
150000,2019,NA
60000,2019,Full sprinkler system present
4000,2019,NA
5000,2019,No sprinkler system
20000,2019,No sprinkler system
100,2019,No sprinkler system
10000,2019,No sprinkler system
2000,2019,NA
5000,2019,NA
1000,2019,No sprinkler system
5000,2019,NA
0,2019,Partial sprinkler system present
1000,2019,NA
6000,2019,Full sprinkler system present
15000,2019,No sprinkler system
10000,2019,NA
1000,2019,Partial sprinkler system present
75000,2019,No sprinkler system
1000,2019,Undetermined
30000,2019,No sprinkler system
1000,2019,Full sprinkler system present
1000,2019,No sprinkler system
3000,2019,Partial sprinkler system present
0,2019,NA
75000,2019,Full sprinkler system present
120000,2019,NA
10000,2019,No sprinkler system
0,2019,NA
0,2019,Undetermined
50000,2019,Full sprinkler system present
1000,2019,Undetermined
0,2019,No sprinkler system
80000,2019,NA
5000,2019,NA
20000,2019,Full sprinkler system present
400000,2019,Full sprinkler system present
0,2019,Undetermined
5000,2019,No sprinkler system
15000,2019,NA
5000,2019,NA
0,2019,Undetermined
